순번,시도,시장-상점가명,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만)
417,대구,두류신시장,1,1,1,1,1,1,1,80,1,2,2,1
418,대구,논공중앙시장,1,2,1,1,1,1,2,50,1,1,1,2
419,대구,현풍백년도깨비시장,1,1,1,1,1,1,1,100,1,1,1,1
420,대구,화원시장,1,1,1,1,1,1,1,100,1,1,1,2
421,대구,공항시장,1,1,1,1,1,1,1,100,1,1,1,2
422,대구,동구시장,1,1,1,1,1,1,1,100,1,1,1,2
423,대구,동대구역전시장,1,2,1,1,1,1,1,50,1,1,1,2
424,대구,동서시장,1,1,1,1,1,1,1,100,1,1,1,2
425,대구,목련시장,1,2,1,1,2,2,2,100,1,1,2,2
426,대구,반야월종합시장,1,1,1,1,1,1,1,100,1,1,2,1
427,대구,방촌시장,1,1,1,1,1,1,1,100,1,1,1,2
428,대구,불로전통시장,1,1,1,1,1,1,1,100,1,1,1,1
429,대구,송라시장,1,2,1,1,1,1,1,50,1,1,1,2
430,대구,평화시장,1,2,1,1,1,1,2,100,2,1,2,2
431,대구,대구능금시장,1,1,1,1,1,1,2,100,1,1,1,2
432,대구,대구청과시장,1,1,1,1,1,1,2,100,1,1,1,2
433,대구,동대구시장,1,1,1,1,1,1,1,80,1,1,1,2
434,대구,동대구신시장,1,2,1,1,1,1,2,60,1,2,2,2
435,대구,산격종합시장,1,2,1,1,1,1,1,50,1,1,2,2
436,대구,삼성시장,1,2,1,1,1,1,1,100,1,1,1,2
437,대구,서변중앙시장,1,2,2,1,2,2,2,100,1,1,2,2
438,대구,중앙시장,1,1,1,1,1,1,1,100,1,1,1,2
439,대구,칠곡시장,1,1,1,1,1,1,1,90,1,1,1,1
440,대구,칠성시장,1,1,1,1,1,1,1,80,1,1,1,2
441,대구,칠성진시장,1,1,1,1,1,1,1,100,1,1,2,2
442,대구,팔달신시장,1,1,1,1,1,1,1,90,1,1,1,2
443,대구,산업용재관,1,1,1,1,1,1,1,100,1,1,2,1
444,대구,섬유제품관,1,1,1,1,1,1,1,100,1,1,2,1
445,대구,전기재료관,1,1,1,1,1,1,1,100,1,1,2,1
446,대구,전기조명관,1,1,1,1,1,1,1,100,1,1,2,1
447,대구,전자관,1,1,1,1,1,1,1,100,1,1,1,1
448,대구,전자상가,1,1,1,1,1,1,1,50,1,1,1,1
449,대구,칠성본시장,1,2,1,1,1,1,2,100,1,2,2,2
450,대구,칠성전자주방시장,1,2,1,1,2,2,2,90,1,1,2,2
451,대구,구평리시장,1,1,1,1,2,2,2,100,1,1,2,2
452,대구,대평리시장,1,2,1,1,1,2,2,80,2,1,2,2
453,대구,새길시장,1,2,1,1,1,1,1,100,2,1,2,2
454,대구,서구시장,1,2,1,1,1,1,1,90,1,1,1,2
455,대구,서부시장,1,1,1,1,1,1,1,99,1,1,1,2
456,대구,신평리시장,1,1,1,1,1,1,1,80,1,1,1,2
457,대구,원고개시장,1,1,1,1,1,1,1,100,1,1,1,2
458,대구,원대신시장,1,2,1,1,1,1,2,100,1,1,1,2
459,대구,이현시장,1,2,1,1,1,1,2,100,1,1,2,2
460,대구,중평시장,1,1,1,1,1,1,2,30,1,1,2,2
461,대구,동성시장,1,2,1,1,2,2,2,100,1,1,2,2
462,대구,수성시장,1,1,1,1,2,2,2,100,1,1,2,2
463,대구,신매시장,1,2,1,1,2,1,2,100,2,1,2,2
464,대구,지산목련시장(지산종합시장),1,1,1,1,1,1,1,70,1,1,1,2
465,대구,청구시장,1,1,1,1,1,1,1,100,2,1,2,2
466,대구,태백시장,1,1,1,1,2,2,2,100,1,1,1,2
467,대구,황금시장,1,1,1,1,1,1,1,50,1,1,2,2
468,대구,교동시장,1,2,1,1,1,1,1,10,1,1,1,2
469,대구,남문시장,1,2,1,1,1,1,2,100,2,1,2,2
470,대구,동산상가,1,1,1,1,1,1,1,100,1,1,1,2
471,대구,명품프라자상가,1,1,1,1,1,1,1,100,1,1,1,1
472,대구,방천시장,1,1,1,1,2,2,2,100,1,1,1,2
473,대구,번개시장,1,1,1,1,1,1,2,98,1,1,2,1
474,대구,서문시장2지구종합상가,1,1,1,1,1,1,1,100,1,1,1,1
475,대구,서문시장5지구,1,1,1,1,1,1,1,90,1,1,1,2
476,대구,서문시장건해산물상가,1,2,1,1,1,1,1,100,1,1,1,2
477,대구,서문시장제1지구직물시장,1,1,1,1,1,1,1,30,1,1,1,2
478,대구,서문시장제1지구포목시장,1,1,1,1,1,1,1,30,1,1,1,2
479,대구,약령시장,1,1,1,1,1,1,2,100,1,1,1,2
480,대구,염매시장,1,2,1,1,1,2,2,100,1,1,1,2
481,대구,서문시장4지구종합대체상가(베네시움),1,1,1,1,1,1,1,0,1,1,1,1
482,인천,강화중앙시장(a동b동),1,1,1,1,1,1,1,10,1,1,2,2
483,인천,강화터미널상가,1,1,1,1,1,1,1,70,1,1,2,1
484,인천,강화풍물시장,1,1,1,1,1,1,1,100,1,1,2,1
485,인천,계산시장,1,1,1,1,1,1,1,100,1,1,1,2
486,인천,계양산전통시장,1,1,1,1,1,1,1,98,1,1,1,2
487,인천,작전시장,1,2,1,1,1,1,1,99,2,1,1,2
488,인천,석바위시장,1,1,1,1,1,1,1,100,1,1,1,2
489,인천,신기시장,1,2,1,1,1,1,1,100,1,1,1,1
490,인천,용현시장,1,1,1,1,1,1,1,80,1,1,1,2
491,인천,인천남부종합시장,1,1,1,1,1,1,1,70,1,1,1,2
492,인천,인천용남시장,1,1,1,1,1,1,1,70,1,1,1,2
493,인천,제일시장,1,2,1,1,2,2,2,100,1,1,1,2
494,인천,토지금고시장,1,1,1,1,1,1,1,100,1,1,1,2
495,인천,학익시장,1,1,1,1,1,1,2,80,1,1,1,2
496,인천,간석자유시장,1,1,1,1,1,1,1,100,1,1,1,2
497,인천,구월도매전통시장,1,2,1,1,2,2,2,98,1,2,2,2
498,인천,구월시장,1,1,1,1,1,1,1,100,1,1,1,2
499,인천,만수시장,1,2,1,1,1,1,2,1,1,1,2,2
500,인천,인천모래내전통시장,1,1,1,1,1,1,1,100,1,1,1,1
501,인천,장승백이전통시장,1,1,1,1,1,1,1,70,1,1,1,2
502,인천,동부시장,1,1,1,1,1,1,1,100,1,1,1,2
503,인천,송림공구상가,1,1,1,1,1,1,2,99,1,1,2,1
504,인천,송현시장,1,1,1,1,1,1,1,89,1,1,1,2
505,인천,인천산업유통사업협동조합,1,1,1,1,1,1,1,100,1,1,1,1
506,인천,중앙시장,1,1,1,1,1,1,2,100,1,2,2,2
507,인천,현대시장,1,1,1,1,1,1,1,30,1,1,1,2
508,인천,부개종합시장,1,2,1,1,1,1,1,100,2,1,2,2
509,인천,부일종합시장,1,1,1,1,1,1,2,30,2,1,2,2
510,인천,부평깡시장,1,2,1,1,1,1,2,70,1,1,1,2
511,인천,부평문화의거리,1,1,1,1,2,1,2,100,1,1,1,2
512,인천,부평종합시장,1,1,1,1,1,1,2,100,1,1,1,2
513,인천,십정종합시장,1,1,1,1,1,1,2,90,1,1,1,2
514,인천,진흥종합시장,1,1,1,1,1,1,1,100,1,1,1,2
515,인천,가좌시장,1,1,1,1,1,1,1,100,1,1,1,2
516,인천,신거북시장,1,1,1,1,1,1,2,100,1,1,2,2
517,인천,인천강남시장,1,1,1,1,1,1,1,100,1,1,1,2
518,인천,인천축산물시장,1,1,1,1,1,1,2,80,1,1,2,2
519,인천,정서진중앙시장,1,1,1,1,1,1,1,100,1,1,1,2
520,인천,연수구옥련시장,1,1,1,1,1,1,1,100,1,2,1,2
521,인천,연수송도역전시장,1,1,1,1,1,1,1,95,2,1,1,2
522,인천,신포시장,1,1,1,1,1,1,1,90,1,1,1,2
523,인천,신흥시장,1,2,1,1,1,1,1,100,1,1,1,2
524,인천,인천종합어시장,1,1,1,1,1,1,1,90,1,1,1,2
525,광주,1913송정역시장(송정역전매일시장),1,2,1,1,1,1,2,100,1,1,2,2
526,광주,뉴밀레니엄시장,1,2,1,1,1,1,2,100,1,1,2,2
527,광주,비아5일시장,1,1,1,1,1,1,2,90,1,1,1,2
528,광주,송정5일시장,1,2,1,1,1,1,2,100,1,1,1,2
529,광주,송정매일시장,1,1,1,1,1,1,1,100,1,1,1,2
530,광주,우산매일시장,1,2,1,1,1,1,2,100,2,1,2,2
531,광주,월곡시장,1,1,1,1,1,1,1,100,1,1,2,2
532,광주,무등시장,1,1,1,1,1,1,1,100,1,1,1,2
533,광주,남광주시장,1,1,1,1,1,1,1,100,1,1,1,2
534,광주,남광주해뜨는시장,1,1,1,1,1,1,1,50,1,1,1,1
535,광주,대인시장,1,1,1,1,1,1,1,100,1,1,1,2
536,광주,동부시장,1,1,1,1,1,1,1,100,1,1,2,2
537,광주,두암시장,1,1,1,1,1,1,1,100,1,1,1,2
538,광주,말바우시장,1,1,1,1,1,1,1,100,1,1,1,2
539,광주,운암시장,1,1,1,1,1,1,1,100,1,1,2,2
540,광주,광주양동시장,1,1,1,1,1,1,1,100,1,1,1,2
541,광주,양동건어물시장,1,1,1,1,1,1,1,100,1,1,1,2
542,광주,양동경열로시장,1,1,1,1,1,1,2,100,1,1,1,2
543,광주,양동닭전길시장,1,1,1,1,1,1,1,100,1,1,2,2
544,광주,양동복개상가,1,1,1,1,1,1,1,100,1,1,1,2
545,광주,양동산업용품시장,1,2,1,1,1,1,2,100,2,1,2,2
546,광주,양동수산전통시장,1,1,1,1,1,1,1,100,1,1,1,1
547,광주,화정동서부시장,1,2,1,2,2,2,2,100,1,2,2,2
548,대전,법동시장,1,1,1,1,1,1,1,80,1,1,1,2
549,대전,송촌시장,1,1,1,1,1,1,1,100,1,1,1,2
550,대전,신탄진시장,1,2,1,1,1,1,1,80,1,1,2,2
551,대전,중리시장,1,1,1,1,1,1,1,100,1,1,1,2
552,대전,가양시장,1,2,1,1,1,1,1,100,1,1,2,2
553,대전,대전도매시장,1,1,1,1,1,1,1,100,1,1,1,2
554,대전,대전상가시장,1,2,1,1,1,1,1,100,1,1,1,2
555,대전,신도시장,1,2,1,1,1,1,1,60,1,1,1,2
556,대전,신중앙시장,1,2,1,1,1,1,1,100,1,1,1,2
557,대전,용운시장,1,1,1,1,1,1,1,100,1,1,1,2
558,대전,원동국제시장,1,2,1,1,1,1,1,75,1,1,2,2
559,대전,인동시장,1,1,1,1,1,1,1,80,1,1,2,2
560,대전,자유도매시장,1,1,1,1,1,1,1,100,1,1,1,2
561,대전,전통중앙도매상가,1,1,1,1,1,1,1,100,1,1,1,2
562,대전,중앙도매시장,1,1,1,1,1,1,1,98,1,1,1,2
563,대전,중앙메가프라자,1,2,1,1,1,1,1,40,1,1,1,2
564,대전,중앙상가시장,1,1,1,1,1,1,1,90,1,1,1,2
565,대전,중앙종합시장,1,1,1,1,1,1,1,99,1,1,1,2
566,대전,도마큰시장,1,1,1,1,1,1,1,100,1,1,1,1
567,대전,한민시장,1,2,1,1,1,1,1,100,1,1,1,2
568,대전,송강시장,1,2,1,1,1,1,1,100,1,1,1,2
569,대전,유성시장,1,1,1,1,1,1,1,100,1,1,2,2
570,대전,문창전통시장,1,1,1,1,1,1,1,60,1,1,1,2
571,대전,부사전통시장,1,1,1,1,1,1,1,100,1,1,1,2
572,대전,산성전통시장,1,1,1,1,1,1,1,100,1,1,1,2
573,대전,오류전통시장,1,1,1,1,1,1,1,50,1,1,1,2
574,대전,태평전통시장,1,1,1,1,1,1,1,90,1,1,1,2
575,울산,(주)신정시장,1,2,1,1,1,1,1,20,1,1,1,2
576,울산,(주)야음시장,1,1,1,1,1,1,1,50,1,1,1,2
577,울산,수암상가시장,1,1,1,1,1,1,1,60,1,1,1,2
578,울산,수암종합시장,1,2,1,1,1,2,2,100,2,1,1,2
579,울산,신정상가시장,1,2,1,1,1,1,1,70,1,1,1,2
580,울산,신정평화시장,1,1,1,1,1,1,1,100,1,1,2,2
581,울산,야음상가시장,1,1,1,1,1,1,1,100,1,1,1,2
582,울산,울산번개시장,1,1,1,1,1,1,1,60,1,1,1,2
583,울산,울산산업공구월드,1,1,1,1,1,1,1,100,1,1,2,1
584,울산,남목전통시장,1,1,1,1,1,1,1,50,1,1,1,2
585,울산,대송농수산물시장,1,1,1,1,1,1,1,100,1,1,1,1
586,울산,동울산종합시장,1,2,1,1,1,1,2,90,1,1,1,2
587,울산,월봉시장,1,1,1,1,1,1,1,100,1,1,1,2
588,울산,신전시장(염포시장),1,1,1,1,1,1,1,0,2,1,2,2
589,울산,코끼리시장,1,1,1,1,1,1,1,100,1,1,2,2
590,울산,호계공설시장,1,1,1,1,1,1,1,100,1,1,1,2
591,울산,화봉시장(화봉종합시장),1,2,1,1,1,2,2,80,2,1,1,2
592,울산,곡천공설시장,2,2,2,2,2,2,2,0,2,1,1,2
593,울산,남창옹기종기시장,1,2,1,1,1,1,1,50,1,1,1,2
594,울산,덕신1차시장,1,1,1,1,1,1,2,60,1,1,1,2
595,울산,덕신2차시장,1,1,1,1,1,1,1,100,1,1,1,2
596,울산,덕하시장(덕하공설시장),1,2,1,1,2,1,2,80,1,1,2,2
597,울산,봉계공설시장,1,1,1,1,1,1,2,100,1,1,2,2
598,울산,언양공설시장,1,2,1,1,1,1,2,100,1,1,1,2
599,울산,언양종합상가시장,1,1,1,1,1,1,1,70,2,1,2,2
600,울산,구역전시장,1,2,1,1,1,1,1,50,1,1,1,2
601,울산,구역전전통시장,1,1,1,1,1,1,1,5,1,1,1,2
602,울산,반구시장,1,1,1,1,1,1,2,80,2,1,2,2
603,울산,병영시장,1,1,1,1,1,1,1,100,1,1,1,2
604,울산,서동시장,1,1,1,1,1,1,1,100,1,1,1,2
605,울산,선우시장,1,1,1,1,1,1,1,100,1,1,1,2
606,울산,성남프라자,1,1,1,1,1,1,1,5,1,1,2,1
607,울산,신울산종합시장,1,1,1,1,1,1,1,100,2,1,2,2
608,울산,옥골시장,1,2,1,1,2,1,2,95,1,1,1,2
609,울산,울산시장,1,1,1,1,1,1,1,5,1,1,1,1
610,울산,중앙전통시장,1,1,1,1,1,1,1,100,1,1,1,2
611,울산,태화종합시장,1,1,1,1,1,1,1,95,1,1,2,2
612,울산,학성새벽시장,1,2,1,1,1,1,1,100,1,1,1,2
613,울산,우정전통시장,1,2,1,1,1,2,2,75,1,1,2,2
614,경기,가평잣고을전통시장,1,1,1,1,1,1,1,100,1,1,1,2
615,경기,가평정기5일시장,1,2,1,1,2,2,2,0,2,1,2,2
616,경기,미원정기5일시장,1,2,1,1,1,2,2,0,2,1,2,2
617,경기,청평5일시장,1,2,1,1,1,2,2,0,2,1,2,2
618,경기,현리정기5일시장,1,2,1,1,2,2,2,30,2,1,2,2
619,경기,능곡전통시장,1,1,1,1,1,1,2,100,1,1,2,2
620,경기,덕이동패션1번지,1,1,1,1,1,1,1,100,1,1,2,2
621,경기,원당전통시장,1,1,1,1,1,1,1,90,1,2,1,2
622,경기,일산전통시장,1,2,1,1,1,1,2,100,1,1,1,2
623,경기,과천새서울프라자시장,1,1,1,1,1,1,2,20,1,1,2,1
624,경기,제일쇼핑시장,1,1,1,1,1,1,1,80,1,1,2,1
625,경기,광명새마을시장,1,1,1,1,1,1,1,100,1,1,1,2
626,경기,광명전통시장,1,1,1,1,1,1,1,100,1,1,1,2
627,경기,경안시장,1,1,1,1,1,1,1,100,1,1,1,2
628,경기,구리전통시장,1,1,1,1,1,1,1,100,1,1,1,1
629,경기,군포역전시장,1,1,1,1,1,1,1,100,1,1,1,2
630,경기,산본시장,1,1,1,1,1,1,1,90,1,1,1,2
631,경기,김포5일장,1,2,1,1,1,2,1,1,1,1,2,2
632,경기,양곡5일장,1,1,1,1,1,1,2,0,2,1,2,2
633,경기,양곡시장,1,2,1,1,1,1,1,80,1,1,2,2
634,경기,양곡오라니장터시장,1,2,1,1,1,1,2,90,1,1,1,2
635,경기,통진5일장(마송5일장),1,1,1,1,1,1,2,1,1,1,2,2
636,경기,통진시장,1,2,1,1,1,1,2,100,1,2,2,2
637,경기,하성5일장,2,2,2,2,2,2,2,0,2,1,2,2
638,경기,마석5일장,1,2,1,1,1,1,2,0,2,1,2,2
639,경기,장현5일장,1,2,2,1,2,2,2,0,1,1,2,2
640,경기,남양주장현 전통시장,1,1,1,1,2,2,2,90,1,1,2,2
641,경기,동두천제일시장,1,1,1,1,1,1,1,100,1,1,1,2
642,경기,동두천큰시장,1,1,1,1,1,1,1,90,1,1,1,2
643,경기,세아프라자상가,1,1,1,1,1,1,1,100,1,1,2,1
644,경기,중앙시장,1,1,1,1,1,1,2,100,1,1,1,2
645,경기,강남시장,1,2,1,1,1,1,1,100,1,1,1,2
646,경기,고리울동굴시장,1,2,1,1,1,1,2,90,1,2,1,2
647,경기,부천상동시장,1,1,1,1,1,1,2,90,1,1,1,2
648,경기,부천자유시장,1,1,1,1,1,1,1,10,1,1,1,2
649,경기,부천제일시장,1,2,1,1,1,1,2,20,2,2,2,2
650,경기,부천중동시장,1,1,1,1,1,1,1,90,1,1,1,2
651,경기,부천한신시장,1,1,1,1,1,1,2,90,1,1,1,2
652,경기,소사종합시장,1,1,1,1,1,1,1,80,1,1,1,2
653,경기,신흥시장,1,1,1,1,1,1,1,90,1,1,1,2
654,경기,역곡남부시장,1,1,1,1,1,1,2,41,1,1,1,2
655,경기,역곡상상시장(역곡북부시장),1,1,1,1,1,1,1,100,1,1,1,2
656,경기,오정시장,1,1,1,1,1,1,1,100,2,2,1,2
657,경기,원미종합시장,1,1,1,1,1,1,2,100,1,1,1,2
658,경기,원종종합시장,1,1,1,1,1,1,1,70,1,1,1,2
659,경기,원종중앙시장,1,1,1,1,1,1,1,100,1,1,1,1
660,경기,조공시장,1,1,1,1,1,1,2,100,1,2,2,2
661,경기,금광시장,1,1,1,1,1,1,1,30,1,1,2,2
662,경기,금호시장,1,1,1,1,1,1,1,100,1,1,2,1
663,경기,단대전통시장,1,1,1,1,1,1,1,60,1,1,1,1
664,경기,돌고래시장,1,1,1,1,1,1,1,10,1,1,2,2
665,경기,동신종합시장,1,1,1,1,1,1,1,100,1,1,2,1
666,경기,모란민속5일장,1,2,1,2,1,2,2,0,1,1,2,2
667,경기,모란종합시장,1,1,1,1,1,1,1,100,1,1,2,2
668,경기,미래그린시장,1,1,1,1,1,1,1,50,1,1,1,2
669,경기,미래타운제2종합시장,1,1,1,1,1,1,1,100,1,1,2,2
670,경기,분당우성시장,1,1,1,1,1,1,1,30,1,1,1,2
671,경기,상대원시장,1,1,1,1,1,1,1,100,1,1,1,2
672,경기,성남남한산성시장(은행골목시장),1,1,1,1,1,1,2,100,2,2,2,2
673,경기,성호시장,1,2,1,1,1,1,2,100,1,1,2,2
674,경기,은행시장,1,1,1,1,1,1,2,100,1,1,1,2
675,경기,코끼리시장,1,1,1,1,1,1,1,10,1,1,2,2
676,경기,코코프라자시장,1,1,1,1,1,1,1,70,1,1,2,1
677,경기,하대원공설시장,1,1,1,1,1,1,1,100,1,1,2,1
678,경기,현대시장,1,1,1,1,1,1,1,100,1,1,1,2
679,경기,현대시장(분당),1,1,1,1,1,1,1,100,1,1,1,2
680,경기,모란가축시장,1,1,1,1,2,1,2,100,2,2,2,2
681,경기,미금현대벤처빌시장,1,1,1,1,1,1,1,50,1,1,2,1
682,경기,범한프라자시장,1,1,1,1,1,1,1,60,1,1,2,1
683,경기,청구문화시장,1,1,1,1,1,1,1,30,1,1,2,2
684,경기,구매탄시장,1,1,1,1,1,1,1,100,1,1,1,2
685,경기,구천동공구상가,1,2,1,1,2,1,1,100,1,2,2,2
686,경기,권선종합시장,1,2,1,1,1,1,1,100,1,1,1,2
687,경기,남문로데오시장,1,1,1,1,1,1,1,100,1,1,2,2
688,경기,남문패션1번가시장,1,1,1,1,1,1,1,100,1,2,1,2
689,경기,매산시장,1,1,1,1,1,1,1,100,1,2,2,2
690,경기,못골종합시장,1,1,1,1,1,1,1,100,1,1,1,2
691,경기,미나리광시장,1,1,1,1,1,1,2,100,1,1,1,2
692,경기,북수원시장,1,2,1,1,2,1,2,95,1,2,2,2
693,경기,시민상가시장,1,2,2,1,1,1,2,100,1,1,1,2
694,경기,역전시장,1,1,1,1,1,1,1,100,1,1,2,1
695,경기,연무시장,1,2,1,1,1,1,2,100,1,1,2,2
696,경기,영동시장,1,1,1,1,1,1,1,90,1,1,1,1
697,경기,장안문거북시장,1,1,1,1,1,1,2,98,2,1,2,2
698,경기,정자시장,1,1,1,1,1,1,1,100,1,1,2,2
699,경기,조원시장,1,2,1,1,1,1,1,100,1,1,2,2
700,경기,지동시장,1,1,1,1,1,1,1,100,1,1,1,1
701,경기,팔달문시장,1,1,1,1,1,1,1,96,1,1,1,2
702,경기,화서시장,1,1,1,1,1,1,2,100,1,1,1,2
703,경기,시흥삼미시장,1,1,1,1,1,1,2,100,1,1,1,2
704,경기,정왕시장,1,1,1,1,1,1,1,90,1,1,2,1
705,경기,도일시장,1,1,1,1,1,1,2,100,1,1,2,2
706,경기,스타프라자전통시장,1,1,1,1,1,1,1,90,1,1,2,1
707,경기,신안코아,1,1,1,1,1,1,1,100,1,1,2,1
708,경기,신안프라자전통시장,1,1,1,1,1,1,1,100,1,1,2,1
709,경기,안산시시민시장,1,1,1,1,1,1,1,100,1,1,2,2
710,경기,월드프라자,1,1,1,1,1,1,1,100,1,1,2,1
711,경기,안성맞춤시장,1,1,1,1,1,1,1,100,1,1,1,2
712,경기,일죽시장,1,1,1,1,1,1,1,100,1,1,2,1
713,경기,죽산시장,1,2,1,1,1,1,2,100,1,1,2,2
714,경기,중앙시장,1,1,1,1,1,1,1,100,1,1,1,2
715,경기,박달시장,1,1,1,1,1,1,1,100,1,1,1,2
716,경기,석수시장,1,2,1,1,1,1,2,100,2,1,2,2
717,경기,안양관양시장,1,1,1,1,1,1,1,100,1,1,1,2
718,경기,안양남부시장,1,1,1,1,1,1,1,100,1,1,1,2
719,경기,안양중앙인정시장,1,1,1,1,1,1,1,90,1,1,1,2
720,경기,안양호계종합시장,1,1,1,1,1,1,1,100,1,1,1,2
721,경기,중앙시장,1,1,1,1,1,1,1,100,1,1,1,2
722,경기,양수리전통시장(양평양수리시장),1,2,1,1,1,1,1,100,1,1,1,2
723,경기,양평물맑은시장,1,1,1,1,1,1,1,90,1,1,1,1
724,경기,용문천년시장,1,2,1,1,1,1,2,90,1,1,2,1
725,경기,가남시장,1,2,1,1,1,1,2,100,2,1,1,2
726,경기,전곡5일장,1,2,1,1,2,2,2,10,2,1,2,2
727,경기,전곡재래시장,1,1,1,1,1,1,1,100,1,1,1,2
728,경기,오색시장,1,1,1,1,1,1,1,90,1,1,1,2
729,경기,백암5일장,1,2,2,1,2,2,2,8,2,1,2,2
730,경기,용인중앙시장,1,1,1,1,1,1,1,90,1,1,1,1
731,경기,죽전로데오상점가전통시장,1,1,1,1,1,1,1,100,2,1,2,1
732,경기,부곡도깨비시장,1,2,1,1,1,1,1,100,1,1,2,2
733,경기,의정부제일시장,1,1,1,1,1,1,1,100,1,1,1,1
734,경기,의정부청과야채시장,1,1,1,1,1,1,1,100,1,1,1,2
735,경기,관고전통시장,1,1,1,1,1,1,1,100,1,1,1,2
736,경기,사기막골도자기시장,1,2,1,1,1,1,2,70,1,1,2,2
737,경기,장호원전통시장,1,2,1,1,1,1,2,60,1,1,1,2
738,경기,광탄시장,1,1,1,1,1,1,2,50,1,1,1,2
739,경기,금촌명동로시장,1,2,1,1,1,1,1,100,1,1,2,2
740,경기,금촌문화로시장,1,1,1,1,1,1,1,90,2,1,2,2
741,경기,금촌전통시장,1,1,1,1,1,1,2,100,1,1,1,2
742,경기,문산자유시장,1,1,1,1,1,1,2,100,1,1,1,2
743,경기,적성전통시장,1,1,1,1,2,1,2,100,1,1,2,2
744,경기,서정리시장,1,1,1,1,1,1,2,100,1,1,1,2
745,경기,송탄시장,1,1,1,1,1,1,1,90,1,1,1,2
746,경기,안중시장,1,1,1,1,1,1,1,90,1,1,1,2
747,경기,중앙시장,1,1,1,1,1,1,1,80,1,1,1,2
748,경기,통복시장,1,1,1,1,1,1,1,80,1,1,1,2
749,경기,신읍5일장,1,1,1,1,1,1,2,0,2,1,2,2
750,경기,운천전통시장,1,1,1,1,1,1,1,90,1,1,1,2
751,경기,일동전통시장,1,1,1,1,1,1,1,100,1,1,1,1
752,경기,덕풍전통시장,1,1,1,1,1,1,1,100,1,1,1,1
753,경기,신장전통시장,1,1,1,1,1,1,1,100,1,1,1,2
754,경기,남양시장,1,2,1,1,2,2,2,100,1,1,2,2
755,경기,발안시장,1,1,1,1,1,1,1,100,1,1,2,2
756,경기,사강시장,1,1,1,1,1,1,1,90,1,1,1,2
757,경기,조암시장,1,2,1,1,1,2,2,85,2,1,1,2
758,강원,강릉동부시장,1,1,1,1,1,1,1,50,1,1,1,2
759,강원,강릉서부시장,1,1,1,1,1,1,1,100,1,1,1,2
760,강원,강릉성남시장,1,2,1,1,1,1,2,60,1,1,1,2
761,강원,주문진건어물시장,1,1,1,1,1,1,1,100,1,1,1,2
762,강원,주문진수산시장,1,1,1,1,1,1,1,50,1,1,1,2
763,강원,주문진종합시장,1,2,1,1,1,1,1,60,1,1,1,2
764,강원,중앙시장,1,1,1,1,1,1,1,20,1,1,1,2
765,강원,간성시장(천년고성시장),1,1,1,1,1,1,1,100,1,1,1,2
766,강원,거진시장,1,1,1,1,1,1,1,100,1,1,2,2
767,강원,동쪽바다중앙시장,1,2,1,1,1,1,1,90,1,1,1,2
768,강원,동해남부재래시장,1,1,1,1,1,1,1,80,1,1,2,1
769,강원,묵호시장,1,2,1,1,1,1,1,100,2,1,1,2
770,강원,북평민속시장,1,2,1,1,2,2,2,90,2,1,2,2
771,강원,삼척번개시장,1,2,1,1,1,2,2,90,1,1,1,2
772,강원,삼척중앙시장,1,1,1,1,1,1,1,100,1,1,1,1
773,강원,속초종합중앙시장,1,1,1,1,1,1,1,100,1,1,1,1
774,강원,속초중앙전통시장(속초관광수산시장),1,1,1,1,1,1,1,100,2,1,1,1
775,강원,양구중앙시장,1,2,1,1,1,1,1,55,1,1,1,2
776,강원,양양전통시장,1,1,1,1,1,1,1,100,1,1,1,2
777,강원,서부공설시장,1,1,1,1,1,1,1,99,1,1,1,2
778,강원,영월덕포5일장,1,2,1,1,2,2,2,70,1,1,2,2
779,강원,서부아침시장,1,1,1,1,1,1,1,90,1,1,1,2
780,강원,영월중앙시장,1,1,1,1,1,1,1,99,1,1,2,1
781,강원,문막시장,1,2,1,1,2,2,2,99,2,1,2,2
782,강원,미로예술원주중앙시장(원주중앙시장),1,2,1,1,1,1,1,100,1,1,1,2
783,강원,민속풍물시장,1,2,1,1,1,1,1,100,1,1,2,2
784,강원,북원상가시장,1,1,1,1,1,1,1,100,1,1,2,1
785,강원,원주남부시장,1,1,1,1,1,1,1,90,1,1,2,2
786,강원,자유시장,1,1,1,1,1,1,1,62,1,1,1,1
787,강원,중앙시민전통시장,1,2,1,1,1,1,1,100,1,1,1,2
788,강원,기린면5일장,1,2,1,1,1,2,2,100,2,1,2,2
789,강원,원통시장,1,2,1,1,1,1,1,100,1,1,1,2
790,강원,인제시장,1,2,1,1,2,1,1,70,1,1,2,2
791,강원,고한구공탄시장(고한시장),1,1,1,1,1,1,1,90,1,1,1,1
792,강원,임계사통팔달시장,1,2,1,1,1,1,1,99,1,1,1,2
793,강원,정선사북시장,1,1,1,1,1,1,1,100,1,1,1,2
794,강원,정선아리랑시장,1,1,1,1,1,1,1,80,1,1,1,1
795,강원,동송시장,1,1,1,1,1,1,1,100,1,1,1,2
796,강원,동송전통시장,1,1,1,1,1,1,2,60,1,1,1,2
