시도,구시군,시장명,시장주소,2010_개설주기,2010_등록_인정 여부,2010_영업점포,2010_공동화장실 보유여부,2010_고객 주차장 보유여부
부산,수영구,삼익시장,부산 수영구 남천1동 18-5,상설,등록,32,보유,미보유
인천,남구,공단시장,인천 남구 주안5동 15-43,상설,등록,28,보유,보유
서울,성북구,정릉시장,서울 성북구 정릉동 400-15,상설,인정,106,미보유,미보유
인천,남구,숭의평화시장,인천 남구 숭의1동 124-38,상설,등록,44,보유,미보유
인천,남구,제일시장,인천 남구 도화1동 429-4,상설,등록,64,보유,미보유
인천,남구,주안자유시장,인천 남구 주안2동 549-1,상설,등록,15,미보유,미보유
인천,남구,학익시장,인천 남구 학익동 270-3,상설,등록,43,보유,미보유
경기,수원시,정자종합시장,경기 수원시 정자2동 73-10,상설,인정,210,미보유,미보유
경기,광주시,경안시장,경기 광주시 경안동 33-16,상설+정기,인정,64,보유,미보유
전북,익산시,익산남부시장,전북 익산시 인화동2가 7,상설,등록,41,보유,보유
전북,정읍시,신태인시장,전북 정읍시 신태인읍 152-8번지,정기,등록,45,보유,보유
전북,순창군,동계시장,전북 순창군 동계면 현포리 620-1번지,정기,등록,20,보유,보유
전남,광양시,광영상설시장,전남 광양시 광영동 682 외 1,상설,등록,42,보유,보유
전남,함평군,함평시장,전남 함평군 함평읍 기각리 982,정기,등록,82,보유,보유
경북,청도군,풍각시장,경북 청도군 풍각면 송서리 552,정기,등록,55,보유,보유
경기,안양시,안양중앙시장,경기 안양시 만안구 안양4동 676-44,상설,인정,115,보유,미보유
경기,안양시,호계시장,경기 안양시 동안구 호계동 995-14,상설,등록,119,보유,보유
경남,밀양시,밀양시장,경남 밀양시 내일동 583-1,상설,등록,145,보유,미보유
경북,구미시,제일시장상가,경북 구미시 공단동 264-18,상설,등록,18,보유,보유
경북,구미시,구미공단종합시장,경북 구미시 공단동 107,상설,등록,40,보유,보유
경북,구미시,구미산업유통단지,경북 구미시 임수동 92-9,상설,등록,392,보유,보유
경북,구미시,금오시장,경북 구미시 원평동 1028-2,상설,등록,88,보유,보유
경북,구미시,구미파크시장,경북 구미시 도량동 77번지,상설,등록,27,보유,미보유
경북,구미시,현대유통,경북 구미시 원평동 119-2,상설,인정,72,보유,보유
경북,구미시,형곡시장프라자,경북 구미시 형곡동 147-1,상설,등록,89,보유,보유
광주,남구,무등시장(합),광주 남구 주월동 974-107,상설,등록,37,보유,보유
대구,달서구,두류종합시장,대구 달서구 성당동 704-5,상설,등록,109,보유,미보유
대구,북구,관음시장,대구광역시 북구 관음동 1284,상설,인정,60,보유,미보유
부산,북구,구포시장,부산 북구 구포1동 589-50,상설,등록,12,보유,미보유
서울,중구,숭례문상가,서울 중구 남창동 51,상설,등록,240,보유,미보유
서울,관악구,봉일시장,서울 관악구 은천동 951-25,상설,등록,30,보유,보유
서울,서초구,남부종합시장,서울 서초구 방배동 767-1,상설,등록,83,보유,보유
서울,서초구,양재종합시장,"서울 서초구 양재동 1-7,8",상설,등록,16,보유,미보유
서울,강남구,논현종합시장,서울 강남구 논현동 227-4,상설,등록,50,보유,보유
서울,강동구,동서울종합시장,서울 강동구 길동 339-1,상설,등록,25,보유,보유
서울,강동구,양지종합시장,서울 강동구 암사동 451-16,상설,등록,43,미보유,미보유
서울,영등포구,영등포유통상가,서울 영등포구 당산동2가 30-2,상설,등록,850,보유,보유
전남,장흥군,관산시장,전남 장흥군 관산읍 옥당리 494-10,상설+정기,등록,44,보유,보유
충남,부여군,부여5일시장,충남 부여군 부여읍 구아리 420,정기,인정,83,보유,미보유
부산,사상구,르네시떼,부산 사상구 괘법동 529-1,상설,등록,1779,보유,보유
